curr1,curr2,price
LSK,EUR,1.0614476069999998
LSK,USD,1.163878236
LSK,XBT,2.49226308e-05
LTC,AUD,100.19984399999998
LTC,ETH,0.028493892
LTC,GBP,52.91031005999999
LTC,USDT,67.326204186
LUNA2,EUR,0.654036084
LUNA2,USD,0.718974486
LUNA,EUR,0.0001173041999999
LUNA,USD,0.0001284831899999
MANA,ETH,0.00019279998
MANA,EUR,0.4149260099999999
MANA,USD,0.45513027
MANA,USDT,0.454719204
MANA,XBT,9.685116e-06
MASK,EUR,3.494061
MASK,USD,3.8279268
MATIC,EUR,0.7634798999999999
MATIC,GBP,0.65690352
MATIC,USD,0.8356671
MATIC,USDT,0.83576736
MATIC,XBT,1.779615e-05
MC,EUR,1.8618282
MC,USD,2.0292624
MINA,EUR,1.072782
MINA,GBP,0.9163764
MINA,USD,1.1700342
MINA,XBT,2.45637e-05
MIR,EUR,0.020052
MIR,USD,0.0220572
MKR,EUR,1736.70372
MKR,USD,1898.22258
MKR,XBT,0.040394754
MNGO,EUR,0.0160416
MNGO,USD,0.0172447199999999
MOON,EUR,0.1048719599999999
MOON,USD,0.1144969199999999
MOVR,EUR,23.049774
MOVR,USD,25.28326602
MSOL,EUR,105.363234
MSOL,USD,115.028298
MULTI,EUR,0.9514674
MULTI,USD,0.9935766
MV,EUR,0.0436130999999999
MV,USD,0.04642038
MXC,EUR,0.008481996
MXC,USD,0.009264024
NANO,ETH,0.000475372764
NANO,EUR,1.0175577894
NANO,USD,1.1172132216
NANO,XBT,2.3791698e-05
NEAR,EUR,3.1842576
NEAR,USD,3.4800246
NMR,EUR,17.435214
NMR,USD,18.307476
NODL,EUR,0.0065730456
NODL,USD,0.0071866367999999
NYM,EUR,0.1707427799999999
NYM,USD,0.18738594
NYM,XBT,4.180842e-06
OCEAN,EUR,0.40324572
OCEAN,GBP,0.34459362
OCEAN,USD,0.4412442599999999
OCEAN,XBT,9.354258e-06
OGN,EUR,0.15730794
OGN,USD,0.1723469399999999
OMG,ETH,0.0002972107439999
OMG,EUR,0.6409772189999999
OMG,JPY,89.33165999999999
OMG,USD,0.7035284303999999
OMG,XBT,1.51021638e-05
OP,EUR,3.17453238
OP,USD,3.468996
ORCA,EUR,5.1463458
ORCA,USD,5.7278538
OXT,EUR,0.0848199599999999
OXT,USD,0.093402216
OXT,XBT,2.0052e-06
OXY,EUR,0.0156405599999999
OXY,USD,0.01664316
PARA,EUR,0.01012445532
PARA,USD,0.01125478656
PAXG,ETH,0.8539645499999999
PAXG,EUR,1838.507724
PAXG,USD,2014.834986
PAXG,XBT,0.04281102
PEPE,EUR,1.1058678e-06
PEPE,USD,1.2111408e-06
PERP,EUR,1.158003
PERP,USD,1.2692916
PHA,EUR,0.1007613
PHA,USD,0.1095841799999999
PLA,EUR,0.18106956
PLA,USD,0.2032270199999999
POL,EUR,0.7268849999999999
POLIS,EUR,0.3890088
POLIS,USD,0.4220945999999999
POLS,EUR,0.7341037199999999
POLS,USD,0.83356164
POL,USD,0.760993452
POND,EUR,0.0120853404
POND,USD,0.0132343199999999
POWR,EUR,0.3975309
POWR,USD,0.43743438
PSTAKE,EUR,0.0488266199999999
PSTAKE,USD,0.0543409199999999
PYTH,EUR,0.245316168
PYTH,USD,0.26889732
PYUSD,EUR,0.91316808
PYUSD,USD,1.00229922
QNT,EUR,111.860082
QNT,USD,122.758344
QTUM,ETH,0.0013241338199999
QTUM,EUR,2.822048298
QTUM,USD,3.077320284
QTUM,XBT,6.536952e-05
RAD,EUR,1.5219467999999998
RAD,USD,1.659303
RARE,EUR,0.09614934
RARE,USD,0.1077794999999999
RARI,EUR,1.373562
RARI,USD,1.564056
RARI,XBT,3.30858e-05
RAY,EUR,1.142964
RAY,USD,1.2512447999999998
RBC,EUR,0.0190493999999999
RBC,USD,0.020783898
REN,EUR,0.0538396199999999
REN,USD,0.0589528799999999
REN,XBT,1.2432239999999998e-06
REPV2,ETH,0.000340884
REPV2,EUR,0.7188642
REPV2,USD,0.7880436
REPV2,XBT,1.60416e-05
REQ,EUR,0.077039784
REQ,USD,0.0846595439999999
RLC,EUR,1.27460538
RLC,USD,1.41226236
RNDR,EUR,3.7697759999999993
RNDR,USD,4.1312133
ROOK,EUR,0.4712219999999999
ROOK,USD,0.511326
RPL,EUR,25.857054
RPL,USD,28.363554
RUNE,EUR,4.5287442
RUNE,USD,4.9698882
SAMO,EUR,0.0119680361999999
SAMO,USD,0.0133506216
SAND,EUR,0.4620983399999999
SAND,GBP,0.3974306399999999
SAND,USD,0.50671404
SAND,XBT,1.0787976e-05
SBR,EUR,0.004140738
SBR,USD,0.00456183
SC,ETH,4.06053e-06
SC,EUR,0.008732646
SCRT,EUR,0.3945231
SCRT,USD,0.43081722
SC,USD,0.009584856
SC,XBT,2.0372832e-07
SDN,EUR,0.3669516
SDN,USD,0.3980322
SEI,EUR,0.6627085739999999
SEI,USD,0.727807392
SGB,EUR,0.007459344
SGB,USD,0.008211294
SHIB,EUR,8.762723999999999e-06
SHIB,USD,9.614934e-06
SHIB,USDT,9.594882e-06
SNX,ETH,0.0014637959999999
SNX,EUR,3.1311198
SNX,USD,3.428892
SNX,XBT,7.31898e-05
SOL,ETH,0.0422966862
SOL,EUR,90.945846
SOL,GBP,78.22285199999999
SOL,USD,99.638388
SOL,USDT,99.578232
SOL,XBT,0.00211909536
SPELL,EUR,0.0004932792
SPELL,USD,0.0005373935999999
SRM,EUR,0.0561456
SRM,USD,0.0621611999999999
SRM,XBT,1.333458e-06
STEP,EUR,0.0557445599999999
STEP,USD,0.06095808
STG,EUR,0.4901711399999999
STG,USD,0.536391
STORJ,EUR,0.5627994839999999
STORJ,USD,0.6165989999999999
STORJ,XBT,1.30909482e-05
STX,EUR,1.80578286
STX,USD,1.97833032
SUI,EUR,0.78894594
SUI,USD,0.8643414599999999
SUPER,EUR,0.49398102
SUPER,USD,0.5428076399999999
SUSHI,EUR,1.0015974
SUSHI,GBP,0.8301527999999999
SUSHI,USD,1.0978469999999998
SUSHI,XBT,2.326032e-05
SYN,EUR,0.3764763
SYN,USD,0.40685508
TBTC,EUR,42953.08841999999
TBTC,USD,47901.11994
TBTC,XBT,0.99663453
TEER,EUR,0.80799534
TEER,USD,0.8969259599999999
T,EUR,0.035732664
TIA,EUR,12.8763918
TIA,USD,14.12202204
TLM,EUR,0.014577804
TLM,USD,0.016232094
TOKE,EUR,0.641664
TOKE,USD,0.7018199999999999
TRU,EUR,0.0450668699999999
TRU,USD,0.049468284
TRX,ETH,4.426479e-05
TRX,EUR,0.0954715823999999
TRX,USD,0.1046092788
TRX,XBT,2.22567174e-06
T,USD,0.039281868
TUSD,EUR,0.982548
TUSD,USD,1.00280052
TVK,EUR,0.0563661719999999
TVK,USD,0.058421502
UMA,EUR,1.749537
UMA,USD,1.9109556
UNFI,EUR,5.6055366
UNFI,USD,6.1579692
UNI,ETH,0.00265689
UNI,EUR,5.6957706
UNI,USD,6.242187599999999
UNI,XBT,0.0001330450199999
USD,AED,0.0
USDC,AUD,1.49297166
USDC,CAD,1.33937334
